id,tvshow_id,words
b9fd4c8e-a98c-47f4-94fb-ad32a1c5fa00,ee00cedf-fbfd-4da8-80b5-99ca9b37fa75,Ancient Aliens
8eb084be-b1dd-4464-9fce-982e7c8061bb,ee00cedf-fbfd-4da8-80b5-99ca9b37fa75,Archaeologist
f063b5cf-5e6a-4352-8a5f-e71ca56bd1b7,ee00cedf-fbfd-4da8-80b5-99ca9b37fa75,Carving
867e3bef-6444-4884-9df2-dff3c0920836,ee00cedf-fbfd-4da8-80b5-99ca9b37fa75,Gobekli Tepe
4919ddd4-fa8c-49e9-bd0d-2d5957d92ef5,ee00cedf-fbfd-4da8-80b5-99ca9b37fa75,Nazca
2fb6854c-79ef-4652-9f4c-f17d779929d3,ee00cedf-fbfd-4da8-80b5-99ca9b37fa75,Hieroglyph
fde0a865-8aca-4055-b06f-5d5cb3145e1e,ee00cedf-fbfd-4da8-80b5-99ca9b37fa75,Mainstream researchers
dc70cf9b-06de-4dc9-8890-35eaf7eac25b,ee00cedf-fbfd-4da8-80b5-99ca9b37fa75,Maya(n)
224465d7-61a0-4dcb-9944-087f165f85f8,ee00cedf-fbfd-4da8-80b5-99ca9b37fa75,Monolith
a89d3be1-8e62-4c5b-b131-79f51ac47d6d,ee00cedf-fbfd-4da8-80b5-99ca9b37fa75,You have to ask yourself
226fec1e-5276-403d-bd1e-5f535ecc4349,ee00cedf-fbfd-4da8-80b5-99ca9b37fa75,Legend
1fce4bea-45a7-42c5-a21e-2d210ae3abb3,ee00cedf-fbfd-4da8-80b5-99ca9b37fa75,Pyramid
d92a1047-d679-4d58-9057-9541a52c6117,ee00cedf-fbfd-4da8-80b5-99ca9b37fa75,Primitiv
